"","x"
"Gooloogongia",0.243572060792617
"Screbinodus",0.0244802103229136
"Marsdenichthys",-0.0099645447921772
"Canowindra",-0.219423797140691
"Beelarongia",-0.187425868174037
"Koharalepis",-0.238972828925562
"Tinirau",0.0450230290077461
"Gogonasus",-0.00305639526187994
"Gyroptychius",-0.0541482457315828
"Osteolepis",0.062037526241169
"Cladarosymblema",0.0186659822956656
"Palatinichthys",0.118665982295665
"Cabonnichthys",-0.024386303532623
"Bruehnopteron",-0.0222420211693061
"Eusthenopteron",-0.0215898800120242
"Heddleichthys",-0.014446915401318
"Mandageria",-0.0173898161107182
"Edenopteron",-0.0227799662940351
"Panderichthys",0.0912025878804592
"Tiktaalik",0.104114879477449
"Elpistostege",-0.0915218607104325
"Ventastega",0.264114879477449
"Acanthostega",0.20048228135626
"Ichthyostega",0.244480210322914
"Whatcheeria",0.239574131825963
"Pederpes",0.236661840228973
"Deltaherpeton",0.088248447242785
"Colosteus",0.0930495330241462
"Greererpeton",0.0972365722048588
"Acherontiscus",-0.100593000846674
"Adelogyrinus",0.142217085113882
"Adelospondylus",0.136849683235071
"Crassigyrinus",0.328112808444103
"Spathicephalus",0.295023029007746
"Baphetes_bohemicus",0.193981838543403
"Baphetes_kirkbyi",0.194339329634671
"Baphetes_orientalis",0.194631003227003
"Baphetes_lintonensis",0.193517701671448
"Megalocephalus",0.123018886941054
"Kyrinion",0.404657698162281
"Loxomma",0.1990209579744
"Eucritta",0.394668053329012
"Adamanterpeton",0.311922894404658
"Cochleosaurus",0.081567918725924
"Chenoprosopus_milleri",0.0421107374107561
"Chenoprosopus_lewisi",0.175210872013844
"Nigerpeton",0.0444698551561828
"Edops",0.0388331149683017
"Balanerpeton",0.338853825301763
"Dendrerpeton",0.190847612201725
"Gephyrostegus",0.235770258965445
"Silvanerpeton",0.423394572953249
"Eoherpeton",0.244480210322914
"Proterogyrinus",0.367935320604735
"Pholiderpeton_scutigerum",0.212110737410756
"Archeria",0.215388359853211
"Pholiderpeton_attheyi",0.147382146753172
"Anthracosaurus",0.358655627128935
"Ossinodus",0.329929107504697
