taxon,ol,ed
Acanthurus_bahianus,6.583333333,6.914566667
Acanthurus_coeruleus,7.75,7.935
Apogon_maculatus,7.175,7.7763
Apogon_melas,7.75,8.5698
Bothus_ocellatus,6.4,6.348
Caesio_teres,11.05,11.109
Cephalopholis_miniata,6.65,6.8241
Cephalopholis_polleni,8.4,8.5698
Cephalopholis_urodeta,8.45,7.935
Cheilinus_chlorourus,7.9,7.7763
Cheilinus_fasciatus,7.85,7.935
Cirrhitichthys_oxycephalus,4.916666667,5.125166667
Clepticus_parrae,3.95,4.293333333
Cromileptes_altivelis,7.4,7.7763
Cryptocentrus_sp.,4.25,5.5545
Cyprinocirrhites_polyactis,6.075,6.31925
Diplectrum_formosum,11.15,10.7916
Epibulus_insidiator,6.1,6.1893
Epinephelus_fulvus,6.625,6.9828
Epinephelus_guttatus,8.9,9.6807
Epinephelus_ongus,7.05,7.5647
Gramma_loreto,3.533333333,3.971333333
Halichoeres_pictus,5.04,5.313
Hemigymnus_melapterus,6.15,5.5545
Hypoplectrus_chlorurus,9.1,9.2046
Hypoplectrus_puella,7.5875,7.69695
Hypoplectrus_unicolor,8.3375,8.96655
Inermia_vittata,11,11.109
Labrisomus_nuchipinnis,5.77,5.96804
Liopropoma_carmabi,3.3,3.542
Liopropoma_eukrines,4.1,4.025
Liopropoma_mowbrayi,3.3,3.6225
Liopropoma_rubre,3.416666667,3.7835
Luzonichthys_waitei,3.65,3.864
Neoniphon_sammara,11.1,12.696
Novaculichthys_taeniourus,6.3,6.1893
Odontanthias_borbonius,9,9.6807
Opistognathus_aurifrons,8.9,8.8872
Oxycirrhites_typus,3.975,4.669
Paracirrhites_arcatus,3.9,4.347
Paranthias_furcifer,7.72,7.96674
Parapercis_millepunctata,4.5,4.4275
Pempheris_schomburgki,14.58333333,14.7
Pomacanthus_paru,7.775,7.85565
Prionurus_microlepidotus,8.75,8.7285
Pseudanthias_bartlettorum,4.075,4.568375
Pseudanthias_evansi,3.75,4.508
Pseudanthias_fasciatus,7.5,7.7763
Pseudanthias_hutchii,5.15,5.313
Pseudanthias_pleurotaenia,5.825,6.42735
Pseudanthias_squamipinnis,5.55,6.409525
Pseudocheilinus_evadinus,3.7625,3.98475
Pseudogramma_gregoryi,3.2,2.6565
Rypticus_maculatus,5.275,5.6327
Sargocentron_coruscum,11.65,12.696
Sargocentron_diadema,10.55,11.34705
Sargocentron_vexillarium,10,10.3155
Scarus_iseri,5.9,6.252166667
Serranocirrhites_latus,4.425,4.87025
Serranus_annularis,3.725,4.2665
Serranus_baldwini,4.2,4.299466667
Serranus_chionaraia,4.083333333,4.776333333
Serranus_phoebe,5.5,5.8627
Serranus_tabacarius,5.716666667,6.2951
Serranus_tigrinus,5.633333333,5.7661
Serranus_tortugarum,4.775,4.932925
Siganus_magnificus,9.025,9.2046
Siganus_puellus,9.95,10.4742
Siganus_tetrazonus,8.2,8.8872
Siganus_unimaculatus,8.9,8.8872
Sparisoma_aurofrenatum,6.35,6.7413
Sparisoma_chrysopterum,5.775,6.30775
Sparisoma_viride,6.35,6.6815
Stegastes_fuscus,7.383333333,7.3531
Stegastes_leucostictus,6.85,6.8241
Stegastes_partitus,5.183333333,5.447166667
Stegastes_variabilis,4.25,4.6023
Variola_louti,5.3,5.8719
Zoramia_leptacantha,4.55,4.991
